No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,L1,L2,  Jackpot,   Wins
1252, Fri,20,Sep,2019, 25,50,21,38,08,04,08, 167609701,    0
1251, Tue,17,Sep,2019, 22,45,43,44,37,01,12, 155282163,    0
1250, Fri,13,Sep,2019, 12,01,42,47,27,06,07, 145566007,    0
1249, Tue,10,Sep,2019, 03,30,49,25,22,03,06, 134122038,    0
1248, Fri, 6,Sep,2019, 13,22,40,10,48,05,02, 125665319,    0
1247, Tue, 3,Sep,2019, 44,11,38,07,39,10,07, 116404085,    0
1246, Fri,30,Aug,2019, 45,49,27,46,25,06,04, 107759330,    0
1245, Tue,27,Aug,2019, 26,08,35,47,43,09,01,  97958413,    0
1244, Fri,23,Aug,2019, 04,17,42,45,35,08,02,  91533020,    0
1243, Tue,20,Aug,2019, 23,24,22,20,37,01,04,  83338679,    0
1242, Fri,16,Aug,2019, 09,42,10,27,37,01,05,  77208525,    0
1241, Tue,13,Aug,2019, 31,13,33,29,40,02,03,  70899768,    0
1240, Fri, 9,Aug,2019, 35,41,14,02,42,11,10,  65218898,    0
1239, Tue, 6,Aug,2019, 38,12,29,36,13,04,12,  52917787,    0
1238, Fri, 2,Aug,2019, 33,44,13,22,50,05,02,  43958121,    0
1237, Tue,30,Jul,2019, 15,27,23,40,20,03,06,  33364792,    0
1236, Fri,26,Jul,2019, 27,02,42,05,37,10,03,  25032609,    0
1235, Tue,23,Jul,2019, 38,19,23,01,14,07,03,  15254100,    0
1234, Fri,19,Jul,2019, 26,17,13,14,28,07,02,  96710509,    1
1233, Tue,16,Jul,2019, 05,13,18,39,03,08,07,  88185562,    0
1232, Fri,12,Jul,2019, 02,31,39,45,47,08,04,  81180289,    0
1231, Tue, 9,Jul,2019, 32,07,41,36,29,07,06,  73547916,    0
1230, Fri, 5,Jul,2019, 20,02,42,34,09,09,06,  67458174,    0
1229, Tue, 2,Jul,2019, 19,44,11,29,45,12,08,  60173279,    0
1228, Fri,28,Jun,2019, 01,33,03,49,16,02,11,  51583856,    0
1227, Tue,25,Jun,2019, 27,34,06,26,46,01,09,  40597881,    0
1226, Fri,21,Jun,2019, 09,08,39,25,05,03,07,  32775384,    0
1225, Tue,18,Jun,2019, 44,40,12,37,24,03,07,  22579505,    0
1224, Fri,14,Jun,2019, 30,01,39,13,31,02,07,  15152100,    0
1223, Tue,11,Jun,2019, 27,46,42,25,39,11,12, 123458008,    1
1222, Fri, 7,Jun,2019, 34,16,04,01,20,02,05, 115726000,    0
1221, Tue, 4,Jun,2019, 31,32,09,39,41,08,02,  22504557,    0
1220, Fri,31,May,2019, 01,26,23,35,24,11,01,  15034800,    0
1219, Tue,28,May,2019, 28,07,29,19,20,01,05,  28837305,    2
1218, Fri,24,May,2019, 05,30,49,23,16,07,06,  49736732,    0
1217, Tue,21,May,2019, 47,32,34,33,39,12,08,  39211724,    0
1216, Fri,17,May,2019, 42,16,28,43,45,06,07,  31674666,    0
1215, Tue,14,May,2019, 14,25,50,10,17,02,10,  21687521,    0
1214, Fri,10,May,2019, 01,45,27,04,48,07,01,  14694800,    0
1213, Tue, 7,May,2019, 32,20,47,07,26,02,11,  21438454,    1
1212, Fri, 3,May,2019, 02,20,27,43,09,05,06,  14467000,    0
1211, Tue,30,Apr,2019, 20,26,12,48,05,02,11,  21815835,    1
1210, Fri,26,Apr,2019, 33,35,50,47,14,11,09,  14682900,    0
1209, Tue,23,Apr,2019, 23,44,18,27,42,07,02,  38254645,    1
1208, Fri,19,Apr,2019, 32,49,08,07,41,11,05,  31273852,    0
1207, Tue,16,Apr,2019, 01,49,15,08,44,02,11,  21879091,    0
1206, Fri,12,Apr,2019, 46,28,01,35,36,06,09,  14701600,    0
1205, Tue, 9,Apr,2019, 38,41,18,29,21,01,11,  68329653,    1
1204, Fri, 5,Apr,2019, 07,45,10,01,29,05,03,  62771731,    0
1203, Tue, 2,Apr,2019, 09,26,16,02,36,06,07,  50833887,    0
1202, Fri,29,Mar,2019, 13,23,26,47,32,06,10,  43015001,    0
1201, Tue,26,Mar,2019, 47,43,19,23,12,02,06,  32010911,    0
1200, Fri,22,Mar,2019, 17,43,26,04,30,11,06,  24580716,    0
1199, Tue,19,Mar,2019, 09,06,01,47,34,12,07,  14552000,    0
1198, Fri,15,Mar,2019, 46,24,42,15,03,12,09,  71057439,    1
1197, Tue,12,Mar,2019, 05,13,07,19,31,09,02,  64356515,    0
1196, Fri, 8,Mar,2019, 40,17,24,19,18,08,04,  55265839,    0
1195, Tue, 5,Mar,2019, 16,10,46,39,06,08,11,  43294160,    0
1194, Fri, 1,Mar,2019, 09,19,26,31,06,12,11,  35148482,    0
1193, Tue,26,Feb,2019, 29,47,15,03,35,04,03,  22256333,    0
1192, Fri,22,Feb,2019, 50,33,29,03,27,07,03,  14773000,    0
1191, Tue,19,Feb,2019, 19,08,18,01,39,09,07, 152400366,    1
1190, Fri,15,Feb,2019, 49,38,27,34,15,02,10, 144375567,    0
1189, Tue,12,Feb,2019, 34,36,50,41,06,01,05, 133312302,    0
1188, Fri, 8,Feb,2019, 46,12,13,39,11,07,10, 123991632,    0
1187, Tue, 5,Feb,2019, 31,43,14,25,37,02,03, 113958151,    0
1186, Fri, 1,Feb,2019, 03,41,26,46,21,06,01, 105204000,    0
1185, Tue,29,Jan,2019, 39,14,24,32,26,08,03,  75051591,    0
1184, Fri,25,Jan,2019, 15,16,13,06,01,06,10,  68153942,    0
1183, Tue,22,Jan,2019, 29,49,41,09,23,08,10,  61621961,    0
1182, Fri,18,Jan,2019, 05,16,46,06,30,05,10,  53285987,    0
1181, Tue,15,Jan,2019, 33,22,35,25,29,03,06,  42137452,    0
1180, Fri,11,Jan,2019, 19,48,31,39,01,06,01,  34004534,    0
1179, Tue, 8,Jan,2019, 19,32,31,03,22,02,11,  23253235,    0
1178, Fri, 4,Jan,2019, 19,07,11,37,27,10,06,  15228600,    0
1177, Tue, 1,Jan,2019, 11,25,08,28,01,04,06, 114969776,    1
1176, Fri,28,Dec,2018, 34,16,35,45,13,10,12, 108543762,    0
1175, Tue,25,Dec,2018, 08,04,43,31,05,09,02,  99026381,    0
1174, Fri,21,Dec,2018, 12,02,34,50,15,04,03,  92134454,    0
1173, Tue,18,Dec,2018, 01,18,39,48,09,07,05,  83057501,    0
1172, Fri,14,Dec,2018, 29,12,38,44,42,12,02,  76884342,    0
1171, Tue,11,Dec,2018, 04,13,07,42,23,01,03,  69712546,    0
1170, Fri, 7,Dec,2018, 17,11,37,48,26,01,10,  63478325,    0
1169, Tue, 4,Dec,2018, 21,19,45,20,42,08,09,  51799990,    0
1168, Fri,30,Nov,2018, 03,10,26,23,12,12,01,  43374190,    0
1167, Tue,27,Nov,2018, 17,16,04,32,18,11,02,  32439819,    0
1166, Fri,23,Nov,2018, 25,30,05,26,08,03,10,  24866684,    0
1165, Tue,20,Nov,2018, 06,48,19,45,39,07,12,  15130000,    0
1164, Fri,16,Nov,2018, 09,10,28,41,13,12,01,  44832935,    1
1163, Tue,13,Nov,2018, 10,07,13,02,42,06,03,  33184923,    0
1162, Fri, 9,Nov,2018, 49,17,37,32,14,11,12,  25702466,    0
1161, Tue, 6,Nov,2018, 14,36,24,43,40,02,09,  14832500,    0
1160, Fri, 2,Nov,2018, 15,37,05,17,44,11,07,  76369807,    1
1159, Tue,30,Oct,2018, 44,27,23,17,43,01,12,  70193991,    0
1158, Fri,26,Oct,2018, 05,31,18,21,35,06,09,  64245817,    0
1157, Tue,23,Oct,2018, 32,02,01,05,21,12,02,  52107396,    0
1156, Fri,19,Oct,2018, 01,03,47,29,48,12,03,  43581440,    0
1155, Tue,16,Oct,2018, 15,28,42,37,40,01,06,  32638799,    0
1154, Fri,12,Oct,2018, 31,04,12,43,09,08,05,  25070150,    0
1153, Tue, 9,Oct,2018, 03,45,44,12,36,11,08,  14873300,    0
1152, Fri, 5,Oct,2018, 16,08,26,35,24,11,03,  14948100,    1
1151, Tue, 2,Oct,2018, 45,29,37,07,17,11,03, 144603632,    1
1150, Fri,28,Sep,2018, 04,08,50,02,27,02,09, 135382686,    0
1149, Tue,25,Sep,2018, 38,06,20,30,15,04,07, 124411811,    0
1148, Fri,21,Sep,2018, 05,07,37,25,21,03,04, 116870000,    0
1147, Tue,18,Sep,2018, 10,32,45,08,03,04,12,  40651934,    0
1146, Fri,14,Sep,2018, 45,40,33,01,03,04,03,  32776219,    0
1145, Tue,11,Sep,2018, 32,18,09,38,46,02,03,  22382447,    0
1144, Fri, 7,Sep,2018, 50,31,27,04,23,01,08,  15216700,    0
1143, Tue, 4,Sep,2018, 47,05,28,30,14,11,04,  40979973,    1
1142, Fri,31,Aug,2018, 04,42,30,38,31,04,06,  32721629,    0
1141, Tue,28,Aug,2018, 42,46,04,16,32,12,08,  22758649,    0
1140, Fri,24,Aug,2018, 31,36,50,14,03,12,01,  15393500,    0
1139, Tue,21,Aug,2018, 43,16,49,23,42,12,10,  96785706,    1
1138, Fri,17,Aug,2018, 18,24,02,43,15,08,12,  89766677,    0
1137, Tue,14,Aug,2018, 31,01,15,25,18,09,11,  81090231,    0
1136, Fri,10,Aug,2018, 43,44,20,18,36,09,03,  75029181,    0
1135, Tue, 7,Aug,2018, 30,29,28,36,16,10,08,  67719962,    0
1134, Fri, 3,Aug,2018, 26,38,36,43,07,12,06,  61780382,    0
1133, Tue,31,Jul,2018, 25,34,20,42,45,06,11,  50637585,    0
1132, Fri,27,Jul,2018, 17,23,11,22,41,11,06,  42386533,    0
1131, Tue,24,Jul,2018, 40,23,02,04,39,03,09,  32023423,    0
1130, Fri,20,Jul,2018, 15,02,43,40,46,03,06,  24941396,    0
1129, Tue,17,Jul,2018, 04,50,06,27,48,01,11,  15126600,    0
1128, Fri,13,Jul,2018, 49,14,04,01,21,02,12,  15021200,    1
1127, Tue,10,Jul,2018, 03,33,26,08,45,10,07,  57975368,    1
1126, Fri, 6,Jul,2018, 30,08,48,33,38,10,02,  49801491,    0
1125, Tue, 3,Jul,2018, 15,29,12,48,01,05,03,  39091736,    0
1124, Fri,29,Jun,2018, 15,21,40,23,48,03,12,  31647298,    0
1123, Tue,26,Jun,2018, 20,34,16,15,50,07,04,  21730843,    0
1122, Fri,22,Jun,2018, 44,39,41,14,25,08,02,  14960000,    0
1121, Tue,19,Jun,2018, 26,07,19,50,42,09,04,  31809040,    1
1120, Fri,15,Jun,2018, 26,23,49,33,38,01,12,  24560828,    0
1119, Tue,12,Jun,2018, 36,38,23,21,07,06,08,  14954900,    0
1118, Fri, 8,Jun,2018, 43,46,08,32,19,08,02,  14931100,    1
1117, Tue, 5,Jun,2018, 39,46,09,22,15,05,04,  14886900,    1
1116, Fri, 1,Jun,2018, 29,17,40,24,18,04,05,  34972315,    2
1115, Tue,29,May,2018, 20,43,06,38,11,04,02,  57637756,    0
1114, Fri,25,May,2018, 13,16,15,41,28,04,05,  50089464,    0
1113, Tue,22,May,2018, 48,11,01,37,41,08,12,  39384424,    0
1112, Fri,18,May,2018, 08,31,05,10,13,06,03,  32040070,    0
1111, Tue,15,May,2018, 20,16,04,31,39,02,12,  22065747,    0
1110, Fri,11,May,2018, 22,34,03,50,49,11,08,  15004200,    0
1109, Tue, 8,May,2018, 17,35,25,39,44,05,02,  39948586,    1
1108, Fri, 4,May,2018, 23,06,12,45,39,12,09,  32659632,    0
1107, Tue, 1,May,2018, 48,42,15,17,06,04,06,  21805469,    0
1106, Fri,27,Apr,2018, 24,40,12,41,46,05,12,  14958300,    0
1105, Tue,24,Apr,2018, 28,44,30,23,20,03,07, 121328187,    1
1104, Fri,20,Apr,2018, 44,39,03,25,16,11,07, 114010000,    0
1103, Tue,17,Apr,2018, 39,15,33,27,50,06,04,  22289222,    0
1102, Fri,13,Apr,2018, 48,50,34,25,05,07,06,  14740700,    0
1101, Tue,10,Apr,2018, 48,14,39,46,27,11,12,  14829100,    1
1100, Fri, 6,Apr,2018, 45,47,29,33,01,04,08,  66429609,    1
1099, Tue, 3,Apr,2018, 43,03,40,16,08,08,05,  59156133,    0
1098, Fri,30,Mar,2018, 35,47,28,17,12,07,11,  51598288,    0
1097, Tue,27,Mar,2018, 46,40,20,23,17,09,10,  40629122,    0
1096, Fri,23,Mar,2018, 46,05,50,07,11,11,08,  32771739,    0
1095, Tue,20,Mar,2018, 44,39,29,26,37,09,11,  22265427,    0
1094, Fri,16,Mar,2018, 31,04,27,24,17,11,10,  14992300,    0
1093, Tue,13,Mar,2018, 11,09,13,33,49,12,06,  54643467,    1
1092, Fri, 9,Mar,2018, 44,09,14,21,32,12,01,  45846428,    0
1091, Tue, 6,Mar,2018, 26,44,20,31,15,02,09,  34392263,    0
1090, Fri, 2,Mar,2018, 02,07,34,48,45,01,12,  26096672,    0
1089, Tue,27,Feb,2018, 48,31,03,41,50,11,08,  14956600,    0
1088, Fri,23,Feb,2018, 18,17,28,47,10,03,07,  77798898,    2
1087, Tue,20,Feb,2018, 06,25,14,19,29,11,05, 142157622,    0
1086, Fri,16,Feb,2018, 23,32,50,12,10,10,04, 133365227,    0
1085, Tue,13,Feb,2018, 13,44,10,21,17,10,01, 123305866,    0
1084, Fri, 9,Feb,2018, 38,22,31,44,36,11,01, 114539544,    0
1083, Tue, 6,Feb,2018, 08,28,17,38,34,06,12, 104423108,    0
1082, Fri, 2,Feb,2018, 36,39,34,14,48,02,03,  95972671,    0
1081, Tue,30,Jan,2018, 11,15,35,27,21,05,04,  86173606,    0
1080, Fri,26,Jan,2018, 28,15,24,48,06,09,04,  79917041,    0
1079, Tue,23,Jan,2018, 05,23,08,09,24,07,08,  71872851,    0
1078, Fri,19,Jan,2018, 44,03,17,50,08,02,07,  66212715,    0
1077, Tue,16,Jan,2018, 46,34,31,20,23,03,12,  54434216,    0
1076, Fri,12,Jan,2018, 45,30,21,13,23,06,04,  45394452,    0
1075, Tue, 9,Jan,2018, 06,49,38,12,15,09,02,  33484288,    0
1074, Fri, 5,Jan,2018, 41,38,20,05,02,04,08,  25687589,    0
1073, Tue, 2,Jan,2018, 20,10,21,48,28,01,08,  15084100,    0
1072, Fri,29,Dec,2017, 04,48,08,22,23,01,12,  34588069,    1
1071, Tue,26,Dec,2017, 30,04,17,44,43,10,02,  21951423,    0
1070, Fri,22,Dec,2017, 05,30,24,31,43,03,06,  15089200,    0
1069, Tue,19,Dec,2017, 15,38,46,08,30,04,07, 119876081,    1
1068, Fri,15,Dec,2017, 25,42,30,50,31,11,02, 111674784,    0
1067, Tue,12,Dec,2017, 39,20,37,50,44,04,08, 101938670,    0
1066, Fri, 8,Dec,2017, 34,32,22,30,04,04,03,  94304641,    0
1065, Tue, 5,Dec,2017, 48,11,44,43,36,02,07,  85788778,    0
1064, Fri, 1,Dec,2017, 05,46,29,35,24,11,12,  79577293,    0
1063, Tue,28,Nov,2017, 42,01,12,06,18,02,07,  71866782,    0
1062, Fri,24,Nov,2017, 28,24,50,19,30,10,03,  66743323,    0
1061, Tue,21,Nov,2017, 31,28,10,02,14,07,05,  54215274,    0
1060, Fri,17,Nov,2017, 35,36,26,42,20,05,12,  46135062,    0
1059, Tue,14,Nov,2017, 16,40,39,41,14,08,10,  34502478,    0
1058, Fri,10,Nov,2017, 37,36,29,22,13,01,09,  26361644,    0
1057, Tue, 7,Nov,2017, 37,19,41,20,07,12,02,  14970200,    0
1056, Fri, 3,Nov,2017, 41,05,33,17,12,04,09,  25476778,    1
1055, Tue,31,Oct,2017, 46,12,43,36,01,03,05,  14919200,    0
1054, Fri,27,Oct,2017, 39,23,16,32,03,01,04,  15011000,    1
1053, Tue,24,Oct,2017, 27,09,33,13,11,10,07,  58670142,    1
1052, Fri,20,Oct,2017, 04,27,23,30,17,03,08,  49712130,    0
1051, Tue,17,Oct,2017, 19,26,17,13,36,02,03,  37871775,    0
1050, Fri,13,Oct,2017, 23,37,50,29,45,05,11,  29491384,    0
1049, Tue,10,Oct,2017, 36,04,37,21,34,06,03,  15209900,    0
1048, Fri, 6,Oct,2017, 15,01,09,25,19,01,07, 170810000,    1
1047, Tue, 3,Oct,2017, 32,06,50,24,48,01,05, 168701000,    0
1046, Fri,29,Sep,2017, 18,32,07,48,19,03,07, 157898325,    0
1045, Tue,26,Sep,2017, 40,29,01,48,41,12,06, 143626132,    0
1044, Fri,22,Sep,2017, 06,31,39,42,11,03,01, 134911784,    0
1043, Tue,19,Sep,2017, 45,21,01,08,30,03,02, 123904174,    0
1042, Fri,15,Sep,2017, 44,49,13,18,37,09,12, 114504000,    0
1041, Tue,12,Sep,2017, 35,17,29,10,27,04,11,  33717075,    0
1040, Fri, 8,Sep,2017, 42,47,24,49,09,01,05,  25993675,    0
1039, Tue, 5,Sep,2017, 28,18,29,06,09,09,01,  15560100,    0
1038, Fri, 1,Sep,2017, 08,07,03,14,49,05,08,  25914013,    1
1037, Tue,29,Aug,2017, 04,12,32,15,38,01,05,  15767500,    0
1036, Fri,25,Aug,2017, 15,07,01,47,05,09,12,  15735200,    1
1035, Tue,22,Aug,2017, 10,12,17,03,27,03,05,  40510685,    1
1034, Fri,18,Aug,2017, 39,42,24,45,02,02,08,  32520149,    0
1033, Tue,15,Aug,2017, 14,30,46,10,35,04,10,  22117219,    0
1032, Fri,11,Aug,2017, 39,48,28,46,18,12,05,  15449600,    0
1031, Tue, 8,Aug,2017, 26,15,40,25,41,04,05,  33089644,    1
1030, Fri, 4,Aug,2017, 29,30,41,40,36,09,02,  25529274,    0
1029, Tue, 1,Aug,2017, 29,24,21,30,14,10,08,  15208200,    0
1028, Fri,28,Jul,2017, 41,09,31,05,29,04,02,  51702050,    1
1027, Tue,25,Jul,2017, 14,44,43,48,12,11,02,  40445365,    0
1026, Fri,21,Jul,2017, 08,01,26,49,09,09,05,  32874047,    0
1025, Tue,18,Jul,2017, 41,27,01,45,25,07,05,  22265567,    0
1024, Fri,14,Jul,2017, 21,14,20,47,11,10,07,  14900500,    0
1023, Tue,11,Jul,2017, 50,26,42,22,14,08,10,  15189500,    1
1022, Fri, 7,Jul,2017, 45,37,20,35,11,03,06,  25663715,    1
1021, Tue, 4,Jul,2017, 22,25,10,37,49,08,05,  14943000,    0
1020, Fri,30,Jun,2017, 35,50,39,17,47,06,08,  87570000,    1
1019, Tue,27,Jun,2017, 45,17,21,09,28,01,03,  70127201,    0
1018, Fri,23,Jun,2017, 04,31,21,03,38,03,07,  64082100,    0
1017, Tue,20,Jun,2017, 44,43,11,18,26,08,10,  52594374,    0
1016, Fri,16,Jun,2017, 38,42,15,17,41,09,12,  44150291,    0
1015, Tue,13,Jun,2017, 12,03,22,27,49,11,04,  33506785,    0
1014, Fri, 9,Jun,2017, 09,39,27,20,43,11,10,  25684767,    0
1013, Tue, 6,Jun,2017, 25,40,20,22,37,07,03,  14866500,    0
1012, Fri, 2,Jun,2017, 08,42,33,24,10,09,03, 134808762,    1
1011, Tue,30,May,2017, 27,48,38,12,07,09,06, 121851562,    0
1010, Fri,26,May,2017, 36,05,39,07,26,02,10, 113475960,    0
1009, Tue,23,May,2017, 15,08,42,25,27,01,04, 102101430,    0
1008, Fri,19,May,2017, 30,12,09,19,11,09,04,  93927013,    0
1007, Tue,16,May,2017, 20,08,30,11,15,03,08,  84319251,    0
1006, Fri,12,May,2017, 02,28,29,44,20,03,09,  76813393,    0
1005, Tue, 9,May,2017, 26,22,16,12,08,07,06,  68249429,    0
1004, Fri, 5,May,2017, 07,43,30,03,35,01,03,  63162406,    0
1003, Tue, 2,May,2017, 27,25,19,06,23,12,11,  55848627,    0
1002, Fri,28,Apr,2017, 20,25,30,39,14,08,02,  48309589,    0
1001, Tue,25,Apr,2017, 11,09,32,19,43,03,09,  38059267,    0
1000, Fri,21,Apr,2017, 02,13,22,49,16,04,05,  30153753,    0
999, Tue,18,Apr,2017, 22,17,45,38,31,12,05,  20624201,    0
998, Fri,14,Apr,2017, 33,20,04,14,23,06,10,  14422800,    0
997, Tue,11,Apr,2017, 22,05,31,49,21,08,02,  70887897,    1
996, Fri, 7,Apr,2017, 35,10,02,50,19,07,06,  65668144,    0
995, Tue, 4,Apr,2017, 24,33,09,01,34,02,06,  58513592,    0
